experiment,n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,k,learning_rate,checkpoint_source,hungarian_90,mmcs,assigned_cosine_min,assigned_cosine_p10,assigned_cosine_median,evaluation_samples,reconstruction_mse,explained_variance,mean_l0,std_l0,fraction_l0_0,fraction_l0_1,fraction_l0_2,fraction_l0_3,fraction_l0_ge4,evaluation_dead_latents,firing_frequency_p10,firing_frequency_median,decoder_max_offdiag_cosine,topk_threshold
8B,128,0,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9375,0.963418185710907,-0.017125360667705536,0.9964275360107422,0.9997574090957642,16384,0.0012196323368698359,0.9981715083122253,2.0,0.6412915587425232,0.06353759765625,0.0037841796875,0.81219482421875,0.1109619140625,0.009521484375,10,0.00628662109375,0.00732421875,0.9134369492530823,0.07162030131089825
8B,128,1,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9375,0.957190990447998,0.027088064700365067,0.9963160753250122,0.9996446967124939,16384,0.0015225040260702372,0.9977174401283264,2.0,0.689007580280304,0.070556640625,0.004150390625,0.79998779296875,0.1068115234375,0.01849365234375,12,0.00616455078125,0.0072021484375,0.8724483847618103,0.08124713327393582
8B,128,2,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.953125,0.96763014793396,0.0008158087730407715,0.9984546899795532,0.9997268915176392,16384,0.0008223967743106186,0.998767077922821,2.0,0.595802366733551,0.0543212890625,0.0040283203125,0.8392333984375,0.0924072265625,0.010009765625,8,0.00634765625,0.00738525390625,0.8279368281364441,0.062040396581509775
8B,128,3,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9296875,0.9475040435791016,0.02239494025707245,0.996311604976654,0.9997549057006836,16384,0.0012413028161972761,0.9981390237808228,2.0,0.6308321356773376,0.0631103515625,0.0052490234375,0.8045654296875,0.1226806640625,0.00439453125,13,0.00616455078125,0.00726318359375,0.8945383429527283,0.07395654941348173
8B,128,4,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9375,0.9664104580879211,-0.004541240632534027,0.9971767663955688,0.9994333982467651,16384,0.0006781358388252556,0.9989833235740662,2.0,0.7007773518562317,0.0740966796875,0.002197265625,0.7935791015625,0.110595703125,0.01953125,9,0.006195068359375,0.0072021484375,0.9648289680480957,0.07863228934345132
8B,256,0,0,0,125000000,16384,7630,2.0,0.000175,loaded_checkpoint,0.955078125,0.9669991135597229,0.016001660376787186,0.998102068901062,0.9994010329246521,16384,0.0017463633557781577,0.997381865978241,2.0,0.5545223951339722,0.04736328125,0.00518798828125,0.85113525390625,0.0933837890625,0.0029296875,15,0.0030517578125,0.0037841796875,0.9480159878730774,0.05237544700503349
8B,256,1,0,0,125000000,16384,7630,2.0,0.000175,loaded_checkpoint,0.947265625,0.9651480317115784,0.003558918833732605,0.997600257396698,0.9999002814292908,16384,0.0008652328979223967,0.9987028241157532,2.0,0.5902445912361145,0.05633544921875,0.001953125,0.830322265625,0.108154296875,0.00323486328125,16,0.00299072265625,0.00372314453125,0.8241592645645142,0.06103500351309776
8B,256,2,0,0,125000000,16384,7630,2.0,0.000175,loaded_checkpoint,0.955078125,0.9673939943313599,0.034795016050338745,0.9977278709411621,0.9999055862426758,16384,0.0007225582376122475,0.998916745185852,2.0,0.6163463592529297,0.05902099609375,0.00177001953125,0.829833984375,0.099609375,0.009765625,15,0.002935791155323386,0.003662109375,0.8894875049591064,0.0635419636964798
8B,256,3,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.943359375,0.964443564414978,0.02912808582186699,0.9977102875709534,0.9999021291732788,16384,0.0008091452182270586,0.9987869262695312,2.0,0.6085731983184814,0.05975341796875,0.0018310546875,0.8211669921875,0.1131591796875,0.00408935546875,17,0.00299072265625,0.00372314453125,0.9774715900421143,0.06495784632111651
8B,256,4,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.943359375,0.9611074924468994,0.012970980256795883,0.9970479607582092,0.9999244809150696,16384,0.000681814388372004,0.9989778399467468,2.0,0.6140645146369934,0.060546875,0.00274658203125,0.8170166015625,0.11553955078125,0.004150390625,19,0.0029296875,0.003662109375,0.7899634838104248,0.06643500114235848
